112	Marta	Perez Campos	1974	3	1	2	2222	2	YR554	112	137000	1	18	10	5	2018
------------------------------------------------------------------------------------
Dia	Mes	Anio	Monto	Estado	Cedula
------------------------------------------------------------------------------------
18	5	2018	11553.7	C	112
18	6	2018	11553.7	C	112
18	7	2018	11553.7	P	112
18	8	2018	11553.7	P	112
18	9	2018	11553.7	P	112
18	10	2018	11553.7	P	112
18	11	2018	11553.7	P	112
18	12	2018	11553.7	P	112
18	1	2019	11553.7	P	112
18	2	2019	11553.7	P	112
18	3	2019	11553.7	P	112
18	4	2019	11553.7	P	112
